,stage,match,gameday,time,stadium,home_score,away_score,weather,temperature,humidity,y
1,100,1,16,1404,19694,1,0,500,3.8,0.66,18250
2,100,1,16,1404,40000,1,0,600,12.4,0.43,24316
3,100,1,16,1404,21000,2,3,600,11.3,0.41,17066
4,100,1,16,1406,50000,1,0,700,11.4,0.52,29603
5,100,1,16,1404,39232,0,0,600,22.5,0.32,25353
6,100,1,16,1405,24490,0,0,600,14.5,0.33,11283
7,100,1,16,1705,26530,1,0,700,7.1,0.65,18920
8,100,1,16,1904,15600,0,1,700,9.2,0.57,11437
9,100,1,17,1404,15349,3,3,600,12.1,0.46,13082
10,100,2,16,1404,40728,0,1,500,13.3,0.86,19010
11,100,2,16,1404,63700,1,0,500,7.2,0.79,41069
12,100,2,16,1403,72327,0,2,500,6.4,0.8,19488
13,100,2,16,1403,42300,1,2,500,11,0.68,26294
14,100,2,16,1404,47816,2,1,700,17.1,0.7,30764
15,100,2,16,1504,20281,2,1,500,11.5,0.95,13231
16,100,2,16,1704,15165,2,1,500,15.1,0.95,10653
17,100,2,16,1706,30132,2,1,600,17.2,0.7,14036
18,100,2,16,1904,49970,3,2,500,7.6,0.83,21757
19,100,3,16,1303,19694,4,1,700,8.9,0.57,11831
20,100,3,16,1304,50000,2,0,700,10.6,0.6,14349
21,100,3,16,1404,26530,0,1,500,10.3,0.77,14777
22,100,3,16,1404,30132,0,2,600,12.4,0.51,11839
23,100,3,16,1504,24490,1,0,600,12.7,0.3,10611
24,100,3,16,1603,39232,1,2,600,20.6,0.35,20192
25,100,3,16,1904,15349,2,1,600,8.6,0.52,12209
26,100,3,17,1603,20000,2,1,600,6.4,0.58,10603
27,100,3,17,1903,21000,1,2,700,4.6,0.56,15072
28,100,4,16,1303,15600,1,1,700,18,0.73,79360
29,100,4,16,1404,49970,0,1,500,16.3,0.82,16229
30,100,4,16,1503,63700,1,1,500,10,0.65,25743
31,100,4,16,1504,15165,1,0,600,12.8,0.62,90420
32,100,4,16,1504,19628,1,2,500,12.4,0.49,95980
33,100,4,16,1603,42300,1,1,500,7.1,0.64,16836
34,100,4,16,1834,20281,1,0,600,10.9,0.47,14216
35,100,4,16,1903,72327,0,0,700,9.4,0.5,22126
36,100,4,16,1904,24490,3,0,600,10.1,0.25,77190
37,100,5,16,1405,39232,0,2,600,20.8,0.32,14023
38,100,5,16,1403,19694,2,2,700,6.1,0.53,13147
39,100,5,16,1403,40000,1,0,600,9.6,0.26,13824
40,100,5,16,1404,30132,0,1,600,12,0.28,12709
41,100,5,16,1504,42300,0,0,700,3.4,0.63,15854
42,100,5,16,1603,15600,0,3,700,9.8,0.2,81800
43,100,5,16,1704,40728,1,3,600,9.3,0.31,23507
44,100,5,16,1904,50000,4,1,600,3.4,0.76,12318
45,100,5,17,1603,26530,0,1,600,12.9,0.35,20996
46,100,6,16,1303,15349,2,3,500,10.2,0.93,12318
47,100,6,16,1304,49970,1,2,500,10.3,0.87,19279
48,100,6,16,1403,15454,1,1,500,11.6,0.8,71010
49,100,6,16,1504,63700,2,0,500,10.4,0.78,25894
50,100,6,16,1604,20281,3,2,500,14,0.76,16334
51,100,6,16,1603,40000,3,1,600,15.4,0.7,12896
52,100,6,16,1834,24490,1,0,600,15.5,0.54,97350
53,100,6,16,1904,21000,3,2,600,11.8,0.43,17134
54,100,6,16,1904,19628,0,1,600,13.6,0.43,91540
55,100,7,16,1404,39232,2,3,600,22.3,0.36,11119
56,100,7,16,1403,15165,1,0,600,19.9,0.53,11965
57,100,7,16,1404,30132,3,1,600,22.3,0.47,10859
58,100,7,16,1405,50000,1,1,700,19.9,0.65,11123
59,100,7,16,1503,40728,3,2,700,13.5,0.5,12110
60,100,7,16,1705,17000,1,0,500,18,0.78,54320
61,100,7,16,1833,15600,2,0,700,12.1,0.58,12709
62,100,7,16,1904,19694,4,0,600,10.4,0.55,17192
63,100,7,17,1903,21000,3,1,700,15.3,0.79,85480
64,100,8,16,1304,49970,0,1,600,24.6,0.47,22405
65,100,8,16,1303,20000,1,2,600,27.5,0.34,18138
66,100,8,16,1404,15349,1,1,600,18.9,0.75,10351
67,100,8,16,1503,26530,1,4,600,24.1,0.5,19895
68,100,8,16,1534,40728,5,0,600,15.4,0.71,17583
69,100,8,16,1603,15600,2,1,600,21.4,0.65,84350
70,100,8,16,1603,72327,3,1,600,23,0.55,21054
71,100,8,16,1603,42300,0,1,600,20.6,0.39,24637
72,100,8,16,1904,19628,3,2,600,19,0.74,12183
73,100,9,18,1403,19620,1,0,700,16.3,0.7,95960
74,100,9,18,1404,30132,3,0,600,23.3,0.59,11672
75,100,9,18,1503,26530,4,3,500,18.5,0.88,15671
76,100,9,18,1604,50000,0,1,700,20.1,0.65,17826
77,100,9,18,1604,24490,1,1,700,20,0.6,18113
78,100,9,18,1905,63700,1,2,500,19.1,0.9,44422
79,100,9,18,1901,20281,3,0,700,19.1,0.9,18393
80,100,9,13,1904,54224,0,1,600,21.2,0.62,25813
81,100,9,13,1903,21000,2,2,700,23.3,0.62,10840
82,100,10,17,1304,19694,0,1,700,16.9,0.68,18525
83,100,10,17,1303,72327,2,1,600,27.9,0.47,24183
84,100,10,17,1305,19628,1,2,600,22.6,0.33,16446
85,100,10,17,1503,15349,2,5,600,17.6,0.85,12875
86,100,10,17,1703,15600,1,0,700,18.3,0.54,11554
87,100,10,17,1605,50889,2,2,600,16.6,0.73,22193
88,100,10,17,1703,40000,2,3,600,19,0.48,20512
89,100,10,17,1904,40728,0,0,700,16.8,0.75,10626
90,100,10,17,1904,42300,0,2,600,13.4,0.68,21827
91,100,11,16,1304,39232,0,1,600,19.9,0.49,10816
92,100,11,16,1403,15165,3,0,600,21.9,0.31,13555
93,100,11,16,1404,24490,1,1,600,26.1,0.29,78330
94,100,11,16,1503,26530,0,2,700,18.8,0.27,16054
95,100,11,16,1504,50000,1,3,600,20.5,0.48,12073
96,100,11,16,1534,20281,1,1,600,20.1,0.45,15891
97,100,11,16,1604,63700,1,1,600,17.8,0.26,31818
98,100,11,16,1834,30132,0,1,600,14.4,0.42,14825
99,100,11,16,1904,21000,1,1,600,12.1,0.54,15253
100,100,12,16,1403,72327,0,0,600,24.7,0.4,25241
101,100,12,16,1404,50000,3,2,700,22.3,0.53,12613
102,100,12,16,1503,42300,1,6,600,20.6,0.45,21920
103,100,12,16,1534,63700,1,0,600,24.4,0.36,35877
104,100,12,16,1603,15600,0,2,600,23.6,0.41,93040
105,100,12,16,1704,40728,7,0,600,21.6,0.5,13915
106,100,12,16,1833,19694,4,0,600,19.1,0.43,16317
107,100,12,16,1904,47816,1,2,700,20.4,0.36,19643
108,100,12,17,1504,49970,3,2,700,22.7,0.35,25803
