id,y,stage,match,gameday,time,home,away,stadium,tv,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11
13994,18250,100,1,60,14.04 ,ベガルタ仙台,鹿島アントラーズ,19694,スカパー／ｅ２／スカパー光／ＮＨＫ総合,1,0,-40,3.8,66%,木村　博之,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,中田　浩二,アレックス,青木　剛,増田　誓志,小笠原　満男,本山　雅志,大迫　勇也,ジュニーニョ
13995,24316,100,1,60,14.04 ,名古屋グランパス,清水エスパルス,40000,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋,1,0,-30,12.4,43%,西村　雄一,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,中村　直志,ダニルソン,藤本　淳吾,金崎　夢生,ケネディ,玉田　圭司,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,河井　陽介,枝村　匠馬,高木　俊幸,アレックス,大前　元紀
13996,17066,100,1,60,14.04 ,ガンバ大阪,ヴィッセル神戸,21000,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪,2,3,-10,11.3,41%,高山　啓義,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,佐々木　勇人,二川　孝広,ラフィーニャ,パウリーニョ,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,伊野波　雅彦,相馬　崇人,三原　雅俊,田中　英雄,野沢　拓也,橋本　英郎,森岡　亮太,大久保　嘉人
13997,29603,100,1,60,14.06 ,サンフレッチェ広島,浦和レッズ,50000,スカパー／ｅ２／スカパー光／ＮＨＫ広島,1,0,-20,11.4,52%,松尾　一,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人,浦和レッズ,加藤　順大,濱田　水輝,阿部　勇樹,槙野　智章,平川　忠亮,鈴木　啓太,山田　直輝,梅崎　司,柏木　陽介,原口　元気,田中　達也
13998,25353,100,1,60,14.04 ,コンサドーレ札幌,ジュビロ磐田,39232,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,0,0,-30,22.5,32%,廣瀬　格,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,ジュビロ磐田,川口　能活,駒野　友一,チョ　ビョングク,藤田　義明,山本　脩斗,小林　裕紀,山本　康裕,山田　大記,松浦　拓弥,菅沼　実,前田　遼一
13999,11283,100,1,60,14.05 ,サガン鳥栖,セレッソ大阪,24490,スカパー／ｅ２／スカパー光／ＮＨＫ佐賀,0,0,-10,14.5,33%,井上　知大,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス
14000,18920,100,1,60,17.05 ,川崎フロンターレ,アルビレックス新潟,26530,スカパー／ｅ２／スカパー光,1,0,-20,7.1,65%,山本　雄大,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁,アルビレックス新潟,黒河　貴矢,三門　雄大,鈴木　大輔,大井　健太郎,金　珍洙,菊地　直哉,本間　勲,小谷野　顕治,アラン　ミネイロ,矢野　貴章,ブルーノ　ロペス
14001,11437,100,1,60,19.04 ,大宮アルディージャ,ＦＣ東京,15600,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0,1,-20,9.2,57%,飯田　淳平,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,渡邉　大剛,カルリーニョス,青木　拓矢,曺　永哲,東　慶悟,ラファエル,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,梶山　陽平,羽生　直剛,長谷川　アーリアジャスール,谷澤　達也,ルーカス
14002,13082,100,1,70,14.04 ,柏レイソル,横浜Ｆ・マリノス,18500,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,3,3,-10,12.1,46%,村上　伸次,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,近藤　直也,橋本　和,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,リカルド　ロボ,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,兵藤　慎剛,小椋　祥平,中村　俊輔,齋藤　学,小野　裕二,大黒　将志
14003,19010,100,2,60,14.04 ,鹿島アントラーズ,川崎フロンターレ,40728,スカパー／ｅ２／スカパー光／ＮＨＫ水戸,0,1,-40,13.3,86%,西村　雄一,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,中田　浩二,アレックス,柴崎　岳,増田　誓志,小笠原　満男,遠藤　康,大迫　勇也,ジュニーニョ,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁
