id,y,stage,match,gameday,time,stadium,home_score,away_score,weather,temperature,humidity
13994,18250,100,1,60,14.04,19694,1,0,-40,3.8,0.66
13995,24316,100,1,60,14.04,40000,1,0,-30,12.4,0.43
13996,17066,100,1,60,14.04,21000,2,3,-10,11.3,0.41
13997,29603,100,1,60,14.06,50000,1,0,-20,11.4,0.52
13998,25353,100,1,60,14.04,39232,0,0,-30,22.5,0.32
13999,11283,100,1,60,14.05,24490,0,0,-10,14.5,0.33
14000,18920,100,1,60,17.05,26530,1,0,-20,7.1,0.65
14001,11437,100,1,60,19.04,15600,0,1,-20,9.2,0.57
14002,13082,100,1,70,14.04,18500,3,3,-10,12.1,0.46
14003,19010,100,2,60,14.04,40728,0,1,-40,13.3,0.86
14004,41069,100,2,60,14.04,63700,1,0,-40,7.2,0.79
14005,19488,100,2,60,14.03,72327,0,2,-40,6.4,0.8
14006,26294,100,2,60,14.03,42300,1,2,-40,11,0.68
14007,30764,100,2,60,14.04,47816,2,1,-20,17.1,0.7
14008,13231,100,2,60,15.04,20281,2,1,-40,11.5,0.95
14009,10653,100,2,60,17.04,15165,2,1,-40,15.1,0.95
14010,14036,100,2,60,17.06,30132,2,1,-30,17.2,0.7
14011,21757,100,2,60,19.04,49970,3,2,-40,7.6,0.83
14012,11831,100,3,60,13.03,19694,4,1,-20,8.9,0.57
14013,14349,100,3,60,13.04,50000,2,0,-20,10.6,0.6
14014,14777,100,3,60,14.04,26530,0,1,-40,10.3,0.77
14015,11839,100,3,60,14.04,30132,0,2,-10,12.4,0.51
14016,10611,100,3,60,15.04,24490,1,0,-10,12.7,0.3
14017,20192,100,3,60,16.03,39232,1,2,-30,20.6,0.35
14018,12209,100,3,60,19.04,18500,2,1,-10,8.6,0.52
14019,10603,100,3,70,16.03,20000,2,1,-10,6.4,0.58
14020,15072,100,3,70,19.03,21000,1,2,-20,4.6,0.56
14021,7936,100,4,60,13.03,15600,1,1,-20,18,0.73
14022,16229,100,4,60,14.04,49970,0,1,-40,16.3,0.82
14023,25743,100,4,60,15.03,63700,1,1,-40,10,0.65
14024,9042,100,4,60,15.04,15165,1,0,-10,12.8,0.62
14025,9598,100,4,60,15.04,19628,1,2,-40,12.4,0.49
14026,16836,100,4,60,16.03,42300,1,1,-40,7.1,0.64
14027,14216,100,4,60,18.34,20281,1,0,-10,10.9,0.47
14028,22126,100,4,60,19.03,72327,0,0,-20,9.4,0.5
14029,7719,100,4,60,19.04,24490,3,0,-10,10.1,0.25
14030,14023,100,5,60,14.05,39232,0,2,-30,20.8,0.32
14031,13147,100,5,60,14.03,19694,2,2,-20,6.1,0.53
14032,13824,100,5,60,14.03,40000,1,0,-10,9.6,0.26
14033,12709,100,5,60,14.04,30132,0,1,-10,12,0.28
14034,15854,100,5,60,15.04,42300,0,0,-20,3.4,0.63
14035,8180,100,5,60,16.03,15600,0,3,-20,9.8,0.2
14036,23507,100,5,60,17.04,40728,1,3,-10,9.3,0.31
14037,12318,100,5,60,19.04,50000,4,1,-10,3.4,0.76
14038,20996,100,5,70,16.03,26530,0,1,-10,12.9,0.35
14039,12318,100,6,60,13.03,18500,2,3,-40,10.2,0.93
14040,19279,100,6,60,13.04,49970,1,2,-40,10.3,0.87
14041,7101,100,6,60,14.03,15454,1,1,-40,11.6,0.8
14042,25894,100,6,60,15.04,63700,2,0,-40,10.4,0.78
14043,16334,100,6,60,16.04,20281,3,2,-40,14,0.76
14044,12896,100,6,60,16.03,40000,3,1,-30,15.4,0.7
14045,9735,100,6,60,18.34,24490,1,0,-10,15.5,0.54
14046,17134,100,6,60,19.04,21000,3,2,-10,11.8,0.43
14047,9154,100,6,60,19.04,19628,0,1,-10,13.6,0.43
14048,11119,100,7,60,14.04,39232,2,3,-30,22.3,0.36
14049,11965,100,7,60,14.03,15165,1,0,-10,19.9,0.53
14050,10859,100,7,60,14.04,30132,3,1,-10,22.3,0.47
14051,11123,100,7,60,14.05,50000,1,1,-20,19.9,0.65
14052,12110,100,7,60,15.03,40728,3,2,-20,13.5,0.5
